Title,Author,Stars,Price,URL
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,₹203.00,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_books_sccl_24/000-0000000-0000000?psc=1
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,₹289.00,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_g_books_sccl_25/000-0000000-0000000?psc=1
Think and Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,4.5 out of 5 stars,₹99.00,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_g_books_sccl_26/000-0000000-0000000?psc=1
The Diary of a Young Girl,Anne Frank,4.5 out of 5 stars,₹99.00,https://www.amazon.in/Diary-Young-Girl-Anne-Frank/dp/8172345194/ref=zg_bs_g_books_sccl_27/000-0000000-0000000?psc=1
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,₹325.00,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_g_books_sccl_28/000-0000000-0000000?psc=1
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,4.5 out of 5 stars,₹228.00,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_books_sccl_29/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,4.5 out of 5 stars,₹185.00,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_books_sccl_30/000-0000000-0000000?psc=1
"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions with Solutions | Includes NEP - 2020| 7th Edition - By Pearson",KVS Madaan,4.4 out of 5 stars,₹315.00,https://www.amazon.in/NTA-Paper-Teaching-Research-Aptitude/dp/935606590X/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,4.6 out of 5 stars,₹240.00,https://www.amazon.in/Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5 out of 5 stars,₹530.00,https://www.amazon.in/Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
"MTG International Mathematics Olympiad (IMO) Workbook for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",MAHABIR SINGH,4.5 out of 5 stars,₹85.00,https://www.amazon.in/International-Mathematics-Olympiad-Workbook-Class/dp/9355555032/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020,Akshat Gupta,4.4 out of 5 stars,₹165.00,https://www.amazon.in/Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
Energize Your Mind: Learn the Art of Mas,Gaur Gopal Das,4.6 out of 5 stars,₹119.00,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
