Title,Author,Stars,Price,URL
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,₹799.00,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 | Get Free access of Smart Book (Set of 3 Books)",MTG Editorial Board,4.5 out of 5 stars,₹932.00,https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/935555897X/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
"MTG International English Olympiad (IEO) Workbook for Class 5 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",ZARRIN ALI KHAN,4.3 out of 5 stars,₹85.00,https://www.amazon.in/International-English-Olympiad-Workbook-Class/dp/9355554737/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
"MTG National Science Olympiad (NSO) Workbook for Class 5 - Quick Recap, MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",ANIL AHLAWAT,4.5 out of 5 stars,₹85.00,https://www.amazon.in/National-Science-Olympiad-Workbook-Class/dp/9355554834/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,₹105.00,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
India that is Bharat,J Sai Deepak,4.8 out of 5 stars,₹465.00,https://www.amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
"MTG International English Olympiad (IEO) Workbook for Class 3 - MCQs, Previous Years Solved Paper and Achievers Section - SOF Olympiad Preparation Books For 2023-2024 Exam",ZARRIN ALI KHAN,4.9 out of 5 stars,₹85.00,https://www.amazon.in/International-English-Olympiad-Workbook-Class/dp/935555477X/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
Educart CBSE Class 10 Science Question Bank 2024 (NCERT based reference book),Sanjiv Sir,4.3 out of 5 stars,₹442.00,https://www.amazon.in/Educart-Class-Science-Question-reference/dp/9357032509/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
Arihant All In One Class 9th Social Science for CBSE Exam 2024,Aditya Raj,4.3 out of 5 stars,₹299.00,https://www.amazon.in/Arihant-Class-Social-Science-Exam-2024/dp/9350105888/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,₹83.00,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
Nursery Rhymes Board Book (My First Book Series): Illustrated Classic Nursery Rhymes,Wonder House Books,4.6 out of 5 stars,₹169.00,https://www.amazon.in/Nursery-Rhymes-Board-Book-First/dp/9388144201/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
